,안심 주소,위도,경도
0,서울특별시 중랑구 중화동 중랑역로15길 22 ,37.5977020263672,127.074798583984
1,서울특별시 중랑구 망우동 망우로58길 55 월드아파트,37.5959804873352,127.09498704965598
2,서울특별시 중랑구 상봉동 동일로120길 79 ,37.5976524353027,127.084449768066
3,서울특별시 중랑구 중화동 중랑역로 16 ,37.596809387207,127.076377868652
4,서울특별시 중랑구 신내동 봉화산로 238 ,37.6074104309082,127.099586486816
5,서울특별시 중랑구 상봉동 봉화산로48길 62 건영아파트,37.6034902734445,127.093957453865
6,서울특별시 중랑구 상봉동 망우로55길 21 ,37.59908367771371,127.093685863505
7,서울특별시 중랑구 망우동 망우로70길 11 ,37.5986213684082,127.102088928223
8,서울특별시 중랑구 망우동 망우로66길 13 ,37.59848265553371,127.099636893383
9,서울특별시 중랑구 망우동 망우로74가길 3 ,37.598903656005895,127.104507446289
10,서울특별시 중랑구 면목동 용마산로 248 ,37.5752591791224,127.088028207475
11,서울특별시 중랑구 망우동 용마산로 443 ,37.5913005985154,127.097089674895
12,서울특별시 중랑구 중화동 중랑천로 158 더갤러리,37.5985069274902,127.073379516602
13,서울특별시 중랑구 중화동 중랑역로3길 44 ,37.595710754394496,127.073173522949
14,서울특별시 중랑구 망우동 망우로76길 37 ,37.5982771306327,127.106059860529
15,서울특별시 중랑구 면목동 면목로84가길 4 ,37.5919418334961,127.088676452637
16,서울특별시 중랑구 상봉동 봉화산로 106 ,37.602661785018,127.086534352895
17,서울특별시 중랑구 망우동 봉우재로58길 38 혜원쉐르빌,37.5921859741211,127.095108032227
18,서울특별시 광진구 중곡동 답십리로 374 ,37.5715484619141,127.08226776123
19,서울특별시 광진구 중곡동 답십리로 374 ,37.57151297624279,127.082711720729
20,서울특별시 중랑구 중화동 동일로124길 76 청호빌,37.6002616882324,127.082916259766
21,서울특별시 중랑구 망우동 망우로71길 36 ,37.6010284423828,127.103355407715
22,서울특별시 중랑구 망우동 용마공원로 7 ,37.5953525506532,127.10160294015
23,서울특별시 중랑구 면목동 면목로 261 ,37.5768021173664,127.085689060496
24,서울특별시 중랑구 중화동 동일로143길 19 제일프라자,37.6057891845703,127.077743530273
