,충전소명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도
0,진원종합관리주식회사,연중무휴,9:00,18:00,Y,N,0,0,N,37.622001000000004,127.086575
1,창동역 환승주차장,연중무휴,0:00,24:00:00,Y,Y,2.0,1.0,Y,37.65436821,127.0491293
2,창1동 공영주차장,연중무휴,0:00,24:00:00,Y,N,1.0,0.0,Y,37.6471291,127.03718899999998
3,조원동 공영주차장,연중무휴,0:00,0:00,N,Y,0.0,1.0,Y,37.481021999999996,126.90571159999999
4,서울대정문 옆 구거부지 급속충전소,연중무휴,0:00,0:00,N,Y,0.0,2.0,N,37.466421000000004,126.948761
5,보라매제1공영주차장,연중무휴,0:00,0:00,N,Y,0.0,1.0,Y,37.488548,126.9344949
6,신림동제1공영주차장,연중무휴,0:00,0:00,N,Y,0.0,1.0,Y,37.487336,126.9234648
7,난곡동제1공영주차장,연중무휴,0:00,0:00,N,Y,0.0,1.0,Y,37.47220843,126.923124
8,원신공영주차장,연중무휴,0:00,0:00,N,Y,0.0,1.0,Y,37.47010388,126.92926580000001
9,현대자동차 북부서비스센터,연중무휴,8:30,17:30,N,Y,0.0,1.0,Y,37.663355200000005,127.0441017
10,기아 도봉서비스센터,연중무휴,8:30,17:30,N,Y,0.0,1.0,N,37.68350229,127.050141
11,창2동 제4공영주차장,연중무휴,0:00,24:00:00,N,Y,0.0,1.0,Y,37.641420000000004,127.036249
12,창3동 제1공영주차장,연중무휴,0:00,24:00:00,N,Y,0.0,1.0,Y,37.633306,127.04155
13,남부초 공영주차장,연중무휴,0:00,0:00,N,Y,0.0,1.0,Y,37.48512106,126.92211200000001
14,홈플러스 월곡점,연중무휴,10:00,23:59,N,Y,0.0,1.0,Y,37.60182639,127.0404642
15,서울시 서초소방서,"토,일",9:00,18:00,Y,N,2.0,0.0,Y,37.498474,126.991948
16,서울시 서초구 반포4동주민센터,"토,일",9:00,18:00,Y,N,1.0,0.0,Y,37.497419,127.00033
17,현우모터스,연중무휴,9:00,18:00,Y,N,1.0,0.0,Y,37.489028999999995,126.997391
18,서울 부띠크모나코 급속,연중무휴,0:00,23:59,N,Y,0.0,3.0,Y,37.497434000000005,127.024526
19,서울시 서초구 서초2동주민센터,"토,일",9:00,18:00,Y,N,1.0,0.0,Y,37.492084999999996,127.02498899999999
20,한국타이어 서초점,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.487613,127.026182
21,예술의 전당,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.480241,127.014214
22,G5센트럴프라자,연중무휴,0:00,23:59,Y,N,2.0,0.0,Y,37.49541,127.01644099999999
23,신세계 강남점,연중무휴,9:00,18:00,N,Y,0.0,2.0,Y,37.503934,127.00241100000001
24,서울시 서초구 반포3동주민센터,"토,일",9:00,18:00,Y,N,1.0,0.0,Y,37.512046000000005,127.005623
25,서울시 서초구 반포2동주민센터,"토,일",9:00,18:00,Y,N,1.0,0.0,Y,37.504529,126.994472
26,서울오토갤러리,연중무휴,0:00,23:59,Y,N,3.0,0.0,Y,37.461837,127.035375
27,서울만남휴게소(부산방향),연중무휴,0:00,23:59,N,Y,0.0,2.0,Y,37.459644,127.042625
28,서울추모공원,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.452032,127.042823
29,남서울농협 하나로마트 우면점,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.456825,127.01598600000001
30,시민의숲동측 공영주차장,연중무휴,0:00,23:59,N,Y,0.0,2.0,Y,37.472231,127.038176
31,구룡공원 공영주차장,연중무휴,0:00,23:59,N,Y,0.0,2.0,Y,37.474127,127.04593500000001
32,하나로마트 양재점,연중무휴,0:00,23:59,Y,Y,2.0,1.0,Y,37.463229999999996,127.04353200000001
33,서울시 내곡동 주민센터,연중무휴,9:00,18:00,Y,N,1.0,0.0,Y,37.449359,127.058315
34,서울시 방배2동 주민센터,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.479727000000004,126.98551699999999
35,서울시립어린이병원,연중무휴,0:00,23:59,Y,Y,2.0,1.0,Y,37.455718,127.068854
36,서울시 서초구 방배1동주민센터,"토,일",9:00,18:00,Y,N,1.0,0.0,Y,37.483333,126.99451100000002
37,서초지사,연중무휴,0:00,23:00,N,Y,0.0,2.0,Y,37.485667,127.028077
38,서울시 서초구 잠원동주민센터,"토,일",9:00,18:00,Y,N,1.0,0.0,Y,37.514959999999995,127.01394599999999
39,서울시교원연수원,연중무휴,9:00,18:00,Y,N,3.0,0.0,Y,37.472161,126.997115
40,서초구청,연중무휴,0:00,23:59,Y,Y,4.0,1.0,Y,37.483625,127.03266
41,서울시인재개발원,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.481194,127.023435
42,서울시 서초구 방배본동주민센터,"토,일",9:00,18:00,Y,N,1.0,0.0,Y,37.494149,126.988804
43,현대강남자동차써비스㈜,일요일,8:30,18:00,N,Y,0.0,1.0,Y,37.474540000000005,127.04097900000001
44,서울시 이마트(양재점),연중무휴,0:00,23:59,Y,Y,4.0,3.0,Y,37.462468,127.036948
45,서울시 양재1동 주민센터,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.471672,127.02667
46,서울시 제이프러스 빌딩,공휴일,6:30,22:30,Y,N,1.0,0.0,Y,37.479626,127.03962
47,국립 중앙도서관,연중무휴,0:00,23:59,N,Y,0.0,2.0,Y,37.497422,127.00323
48,미도아파트 앞 공영주차장,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.500034,127.010427
49,서울시 서초구 방배4동주민센터,"토,일",9:00,18:00,Y,N,1.0,0.0,Y,37.489005999999996,126.99223500000001
50,서울시 서초구 방배3동주민센터,"토,일",9:00,18:00,Y,N,1.0,0.0,Y,37.47844,126.999977
51,서울백석예술대학교,연중무휴,0:00,23:59,Y,N,2.0,0.0,Y,37.480371000000005,126.996898
52,서울시 서초구 서초1동주민센터,"토,일",9:00,18:00,Y,N,1.0,0.0,Y,37.490190999999996,127.01946699999999
53,서울시 서초구 반포1동주민센터,"토,일",9:00,18:00,Y,N,1.0,0.0,Y,37.505094,127.013377
54,삼방주유소,연중무휴,0:00,23:59,N,Y,0.0,2.0,Y,37.503733000000004,127.02319399999999
55,용답동 공영주차장,연중무휴,0:00,0:00,N,Y,0,0,Y,37.56456295,127.0543072
56,성수2가 공영주차장,연중무휴,0:00,0:00,N,Y,0,0,Y,37.54912306,127.0551787
57,송정동 공영주차장,연중무휴,0:00,0:00,N,Y,0,0,Y,37.54996327,127.068071
58,용답동 공영주차장,연중무휴,0:00,0:00,N,Y,0,0,Y,37.56456295,127.0543072
59,성수2가 공영주차장,연중무휴,0:00,0:00,N,Y,0,0,Y,37.54912306,127.0551787
60,성수2가 공영주차장,연중무휴,0:00,0:00,N,Y,0,0,Y,37.54912306,127.0551787
61,성수2가 공영주차장,연중무휴,0:00,0:00,N,Y,0,0,Y,37.54912306,127.0551787
62,마장축산물시장 서문 공영주차장,연중무휴,0:00,0:00,N,Y,0,0,Y,37.57046895,127.0382965
63,서울시 성동소방서,연중무휴,0:00,0:00,Y,N,0,0,Y,37.553821,127.03961100000001
64,서울시 이마트(성수점),연중무휴,0:00,0:00,Y,N,0,0,Y,37.53982,127.05303899999998
65,서울시 이마트(성수점),연중무휴,0:00,0:00,Y,N,0,0,Y,37.53982,127.05303899999998
66,성동구 대명루첸아파트,연중무휴,0:00,0:00,Y,N,0,0,Y,37.53670177,127.05912509999999
67,서울시 성동구 보건소,연중무휴,0:00,0:00,Y,N,0,0,Y,37.567393,127.033103
68,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
69,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
70,남부수도사업소,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.49241456,126.9153994
71,남부수도사업소,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.49241456,126.9153994
72,남부수도사업소,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.49241456,126.9153994
73,남부수도사업소,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.49241456,126.9153994
74,사당4동주민센터,연중무휴,0:00,23:59,Y,N,1.0,0.0,N,37.48097701,126.97163529999999
75,사당5동주민센터,연중무휴,0:00,23:59,Y,N,1.0,0.0,N,37.48566105,126.96697959999999
76,중앙대학교102관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
77,중앙대학교102관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
78,중앙대학교303관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
79,중앙대학교303관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
80,중앙대학교305관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
81,중앙대학교305관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
82,중앙대학교309관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
83,중앙대학교310관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
84,중앙대학교310관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
85,중앙대학교310관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
86,중앙대학교102관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
87,중앙대학교310관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
88,중앙대학교102관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
89,서울시 동작구 보건소,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50444598,126.94109040000001
90,사당역 공영주차장,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.475527,126.983194
91,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
92,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
93,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
94,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
95,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
96,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
97,롯데하이마트 창동점,연중무휴,0:00,24:00:00,N,Y,0.0,1.0,Y,37.65292217,127.052168
98,홈플러스 방학점,연중무휴,0:00,24:00:00,N,Y,0.0,1.0,Y,37.66481829999999,127.04359939999999
99,마장동사무소 앞(공중전화부스),연중무휴,0:00,0:00,N,Y,0,0,Y,37.5658818,127.0463487
100,성동구청,연중무휴,0:00,0:00,N,Y,0,0,Y,37.56342359,127.03696640000001
101,마장축산물시장 서문 공영주차장,연중무휴,0:00,0:00,N,Y,0,0,Y,37.57046895,127.0382965
102,이마트 성수점(지상5층 주차장),연중무휴,10:00,23:00,N,Y,0,0,Y,37.53993004,127.05349270000002
103,이마트 성수점(지상5층 주차장),연중무휴,10:00,23:00,N,Y,0,0,Y,37.53993004,127.05349270000002
104,이마트 성수점(지상5층 주차장),연중무휴,10:00,23:00,N,Y,0,0,Y,37.53993004,127.05349270000002
105,이마트 성수점(지상5층 주차장),연중무휴,10:00,23:00,N,Y,0,0,Y,37.53993004,127.05349270000002
106,이마트 성수점(지상5층 주차장),연중무휴,10:00,23:00,N,Y,0,0,Y,37.53993004,127.05349270000002
107,이마트 성수점(지상5층 주차장),연중무휴,10:00,23:00,N,Y,0,0,Y,37.53993004,127.05349270000002
108,이마트 성수점(지상5층 주차장),연중무휴,10:00,23:00,N,Y,0,0,Y,37.53993004,127.05349270000002
109,이마트 성수점(지상5층 주차장),연중무휴,10:00,23:00,N,Y,0,0,Y,37.53993004,127.05349270000002
110,이마트 성수점(지상5층 주차장),연중무휴,10:00,23:00,N,Y,0,0,Y,37.53993004,127.05349270000002
111,이마트 성수점(지상5층 주차장),연중무휴,10:00,23:00,N,Y,0,0,Y,37.53993004,127.05349270000002
112,서울시여성가족재단,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.51161025,126.92722690000001
113,도봉구청,연중무휴,0:00,24:00:00,N,Y,0.0,2.0,Y,37.66871667,127.0471334
114,가로공원로 지상주차장,연중무휴,0:00,0:00,N,Y,0.0,5.0,N,37.5358287,126.8289856
115,강서수도사업소,연중무휴,9:00,18:00,Y,N,2.0,0.0,N,37.51953667,126.86987690000001
116,목1동주민센터,연중무휴,9:00,18:00,Y,N,1.0,0.0,N,37.53036455,126.8711885
117,목2동 주민센터,연중무휴,0:00,0:00,N,Y,0.0,1.0,N,37.54614341,126.8717
118,목5동주민센터,연중무휴,9:00,18:00,Y,N,1.0,0.0,N,37.53713,126.88171750000001
119,목동공영주차장,연중무휴,0:00,0:00,Y,Y,1.0,1.0,Y,37.52939263,126.8791051
120,서울시 도로환경처,연중무휴,9:00,18:00,Y,N,2.0,0.0,N,37.52977312,126.8776156
121,서울에너지공사 주차장,연중무휴,0:00,0:00,Y,Y,1.0,4.0,N,37.5401156,126.88370900000001
122,신월2동주민센터,연중무휴,9:00,18:00,Y,N,1.0,0.0,N,37.524918,126.844546
123,신월4동주민센터,연중무휴,9:00,18:00,Y,N,1.0,0.0,N,37.524618,126.8400794
124,신월5동 주민센터,연중무휴,0:00,0:00,N,Y,0.0,1.0,N,37.53858312,126.82717350000001
125,신월5동주민센터,연중무휴,9:00,18:00,Y,N,1.0,0.0,N,37.53858312,126.82717350000001
126,신월6동주민센터,연중무휴,9:00,18:00,Y,N,1.0,0.0,N,37.516090999999996,126.843648
127,신정1동 주민센터,연중무휴,0:00,0:00,N,Y,0.0,1.0,N,37.518551,126.8542864
128,신정1동주민센터,연중무휴,9:00,18:00,Y,N,1.0,0.0,N,37.518551,126.8542864
129,신정2동주민센터,연중무휴,9:00,18:00,Y,N,1.0,0.0,N,37.51921319,126.87067379999999
130,신정3동 넓은들 민원센터,연중무휴,0:00,0:00,N,Y,0.0,2.0,N,37.511439,126.8415147
131,신정6동주민센터,연중무휴,9:00,18:00,Y,N,1.0,0.0,N,37.51705815,126.86438829999999
132,양천구청,연중무휴,9:00,18:00,Y,N,2.0,0.0,Y,37.517075,126.866542
133,양천구청,연중무휴,0:00,0:00,N,Y,0.0,1.0,Y,37.51707502,126.86650800000001
134,해맞이공영주차장,연중무휴,0:00,0:00,N,Y,0.0,1.0,Y,37.52044756,126.8345682
135,현대남부서비스센터,연중무휴,0:00,23:59,N,Y,0.0,1.0,N,37.51394627,126.9344456
136,동작구청,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.51252922,126.9399439
